LEADID,Last Name,Company,Lead Owner Id,Lead Owner,Email,Mobile,Website,Industry,Lead Source,Lead Status,Created Time,CONVERTED
2049,Maurizio,Quality Transmission Component,1001,Rozario Diego,maurizio@samplecompany.com,(800) - 456 - 2049,,Technology,Cold Call,Not Contacted,"23 May, 2012 00:00:00",
2050,Guillermo,Seacoast Metal Products Inc,1002,Santa Cruz Clara,guillermo@samplecompany.com,(800) - 456 - 2050,,Technology,OnlineStore,Contact in Future,"23 May, 2012 00:00:00",
2051,Liz,Veit Tool & Gage Inc,1009,Thomas Mondrake,liz@samplecompany.com,(800) - 456 - 2051,,Service Provider,External Referral,Contacted,"23 May, 2012 00:00:00",
2052,Henriette,Brush Wellman Inc.,1004,Pete Zachriah,henriette@samplecompany.com,(800) - 456 - 2052,,Education,OnlineStore,Junk Lead,"23 May, 2012 00:00:00",
2053,Peter,Jupiter Aluminum Corporation,1001,Rozario Diego,peter@samplecompany.com,(800) - 456 - 2053,,Communications,Sales Mail Alias,Attempted to Contact,"23 May, 2012 00:00:00",
2054,Alan,Ken-Tool,1001,Rozario Diego,alan@samplecompany.com,(800) - 456 - 2054,,Financial Services,Public Relations,Pre Qualified,"23 May, 2012 00:00:00",
2055,Patricio,Dell Steel,1010,Augustine Paul,patricio@samplecompany.com,(800) - 456 - 2055,,Manufacturing,Public Relations,Contact in Future,"23 May, 2012 00:00:00",
2056,Aria,Sharon Tube Company,1005,Steffi Graf,aria@samplecompany.com,(800) - 456 - 2056,,IT Services,Partner,Lost Lead,"23 May, 2012 00:00:00",
2057,Antonio,"Aluminomics, L.L.C.",1002,Santa Cruz Clara,antonio@samplecompany.com,(800) - 456 - 2057,,Consulting,Trade Show,Contacted,"23 May, 2012 00:00:00",
2058,Christina,Capral Products Corporation,1009,Thomas Mondrake,christina@samplecompany.com,(800) - 456 - 2058,,Financial Services,Public Relations,Not Contacted,"20 May, 2012 00:00:00",
2059,Janete,"AGA Gas, Inc.",1001,Rozario Diego,janete@samplecompany.com,(800) - 456 - 2059,,Financial Services,Web Research,Pre Qualified,"20 May, 2012 00:00:00",
2060,Georg,Permatech Inc.,1001,Rozario Diego,georg@samplecompany.com,(800) - 456 - 2060,,Pharma,Public Relations,Contacted,"20 May, 2012 00:00:00",
2061,Sergio,Servaas Enginering,1001,Rozario Diego,sergio@samplecompany.com,(800) - 456 - 2061,,Manufacturing,Employee Referral,Junk Lead,"20 May, 2012 00:00:00",
2062,Alan,Talley Metals Technology Inc.,1001,Rozario Diego,alan@samplecompany.com,(800) - 456 - 2062,,Consulting,Public Relations,Attempted to Contact,"20 May, 2012 00:00:00",
2063,Chris,AeroForge Corp,1010,Augustine Paul,chris@samplecompany.com,(800) - 456 - 2063,,Pharma,External Referral,Pre Qualified,"20 May, 2012 00:00:00",
2066,Jean,General Forging Die Co Inc,1004,Pete Zachriah,jean@samplecompany.com,(800) - 456 - 2066,,Manufacturing,Cold Call,Contacted,"20 May, 2012 00:00:00",
2068,Karin,Mason Specialty Forge,1009,Thomas Mondrake,karin@samplecompany.com,(800) - 456 - 2068,,Service Provider,Web Research,Pre Qualified,"20 May, 2012 00:00:00",
2070,Victoria,Nesco Inc,1009,Thomas Mondrake,victoria@samplecompany.com,(800) - 456 - 2070,,Consulting,Sales Mail Alias,Junk Lead,"20 May, 2012 00:00:00",
2072,Yoshi,Williamson Gear & Machine Co,1010,Augustine Paul,yoshi@samplecompany.com,(800) - 456 - 2072,,Manufacturing,External Referral,Pre Qualified,"20 May, 2012 00:00:00",
2073,Annette,The Stanley Works - Mechanical Tools Products,1010,Augustine Paul,annette@samplecompany.com,(800) - 456 - 2073,,Pharma,External Referral,Contact in Future,"20 May, 2012 00:00:00",
2075,Patricia,MI Metals/Better Bilt,1001,Rozario Diego,patricia@samplecompany.com,(800) - 456 - 2075,,Education,Sales Mail Alias,Contacted,"18 May, 2012 00:00:00",
2076,Annette,Pino Window Corporation,1005,Steffi Graf,annette@samplecompany.com,(800) - 456 - 2076,,Technology,Partner,Not Contacted,"18 May, 2012 00:00:00",
2078,Hanna,"TGB Partnership, The",1011,Tina Thomas,hanna@samplecompany.com,(800) - 456 - 2078,,IT Services,Trade Show,Contact in Future,"18 May, 2012 00:00:00",
2079,Hanna,R J S Precision Extrusion,1005,Steffi Graf,hanna@samplecompany.com,(800) - 456 - 2079,,Communications,External Referral,Contacted,"18 May, 2012 00:00:00",
2082,Horst,TI Group Automotive Systems,1010,Augustine Paul,horst@samplecompany.com,(800) - 456 - 2082,,Communications,External Referral,Contact in Future,"18 May, 2012 00:00:00",
2084,Paolo,Cascade Kenhar,1009,Thomas Mondrake,paolo@samplecompany.com,(800) - 456 - 2084,,Technology,Sales Mail Alias,Contacted,"18 May, 2012 00:00:00",
2085,Helvetius,Ewart Chain Co Inc,1001,Rozario Diego,helvetius@samplecompany.com,(800) - 456 - 2085,,Financial Services,External Referral,Not Contacted,"18 May, 2012 00:00:00",
2086,Bill,Federal Gear Corp,1002,Santa Cruz Clara,bill@samplecompany.com,(800) - 456 - 2086,,IT Services,Partner,Pre Qualified,"18 May, 2012 00:00:00",
2087,Giovanni,Firth Rixson Monroe,1008,Roger Terrence,giovanni@samplecompany.com,(800) - 456 - 2087,,Education,Employee Referral,Contact in Future,"18 May, 2012 00:00:00",
2089,Patricio,Martin Sprocket & Gear Inc,1009,Thomas Mondrake,patricio@samplecompany.com,(800) - 456 - 2089,,Consulting,Trade Show,Junk Lead,"18 May, 2012 00:00:00",
2090,Miguel,Pro America Tools,1003,Lazar Mathew,miguel@samplecompany.com,(800) - 456 - 2090,,Service Provider,OnlineStore,Pre Qualified,"18 May, 2012 00:00:00",
2092,Karin,Rail Exchange Inc,1011,Tina Thomas,karin@samplecompany.com,(800) - 456 - 2092,,Government/Military,Partner,Lost Lead,"18 May, 2012 00:00:00",
2093,Yang,Sifco Forge Group,1006,Harold Pawlan,yang@samplecompany.com,(800) - 456 - 2093,,Government/Military,Public Relations,Contacted,"18 May, 2012 00:00:00",
2094,Laurence,Quality Aluminum Forge,1004,Pete Zachriah,laurence@samplecompany.com,(800) - 456 - 2094,,Education,Partner,Not Contacted,"18 May, 2012 00:00:00",
2096,Art,Rex Roto Corp.,1003,Lazar Mathew,art@samplecompany.com,(800) - 456 - 2096,,Communications,External Referral,Contact in Future,"08 May, 2012 00:00:00",
2097,Hari,California Custom Shapes,1006,Harold Pawlan,hari@samplecompany.com,(800) - 456 - 2097,,Communications,Advertisement,Contacted,"08 May, 2012 00:00:00",
2098,Alejandra,Columbia Gear Corp,1001,Rozario Diego,alejandra@samplecompany.com,(800) - 456 - 2098,,Government/Military,Cold Call,Junk Lead,"08 May, 2012 00:00:00",
2103,Marie,Cerro Metal Products Co,1009,Thomas Mondrake,marie@samplecompany.com,(800) - 456 - 2103,,IT Services,External Referral,Pre Qualified,"03 May, 2012 00:00:00",
2104,Horst,Chassis Liner Corp,1010,Augustine Paul,horst@samplecompany.com,(800) - 456 - 2104,,Pharma,Employee Referral,Contact in Future,"03 May, 2012 00:00:00",
2105,Sven,Impact Forge Inc,1002,Santa Cruz Clara,sven@samplecompany.com,(800) - 456 - 2105,,Technology,Sales Mail Alias,Contacted,"03 May, 2012 00:00:00",
2100,Patricia,Non-Ferrous Extrusion,1010,Augustine Paul,patricia@samplecompany.com,(800) - 456 - 2100,,Manufacturing,Partner,Lost Lead,"03 May, 2012 00:00:00",
2101,Michael,Nucor Steel,1004,Pete Zachriah,michael@samplecompany.com,(800) - 456 - 2101,,Consulting,Public Relations,Contacted,"03 May, 2012 00:00:00",
2107,Bill,Ethyl Aluminum Group,1010,Augustine Paul,bill@samplecompany.com,(800) - 456 - 2107,,Technology,Cold Call,Attempted to Contact,"02 May, 2012 00:00:00",
2108,Mary,Indalex West Inc.,1009,Thomas Mondrake,mary@samplecompany.com,(800) - 456 - 2108,,Technology,Public Relations,Pre Qualified,"02 May, 2012 00:00:00",
2109,Matti,Novi Greetings Inc.,1002,Santa Cruz Clara,matti@samplecompany.com,(800) - 456 - 2109,,Pharma,OnlineStore,Contact in Future,"02 May, 2012 00:00:00",
2110,Pirkko,Nuclear Metals Inc.,1009,Thomas Mondrake,pirkko@samplecompany.com,(800) - 456 - 2110,,Technology,Advertisement,Contacted,"02 May, 2012 00:00:00",
2112,Martine,M J H Gear & Tool Co Inc,1006,Harold Pawlan,martine@samplecompany.com,(800) - 456 - 2112,,Education,Web Research,Pre Qualified,"02 May, 2012 00:00:00",
2114,Helvetius,Sundstrand Aerospace,1009,Thomas Mondrake,helvetius@samplecompany.com,(800) - 456 - 2114,,Service Provider,Sales Mail Alias,Contacted,"02 May, 2012 00:00:00",
1709,Catherine,Aluminum Corporation,1003,Lazar Mathew,catherine@samplecompany.com,(800) - 456 - 1709,,Manufacturing,Trade Show,Contact in Future,"24 Apr, 2012 00:00:00",
1711,Elizabeth,Light Metals Corporation,1011,Tina Thomas,elizabeth@samplecompany.com,(800) - 456 - 1711,,Consulting,Cold Call,Attempted to Contact,"24 Apr, 2012 00:00:00",
1717,Maria,Diameters Corporation,1004,Pete Zachriah,maria@samplecompany.com,(800) - 456 - 1717,,IT Services,OnlineStore,Pre Qualified,"24 Apr, 2012 00:00:00",
1720,Aria,Dutchtown Forge Ltd,1008,Roger Terrence,aria@samplecompany.com,(800) - 456 - 1720,,Consulting,Public Relations,Attempted to Contact,"24 Apr, 2012 00:00:00",
1723,Mario,Moore Gear & Manufacturing Co,1003,Lazar Mathew,mario@samplecompany.com,(800) - 456 - 1723,,Education,Advertisement,Lost Lead,"24 Apr, 2012 00:00:00",
1725,Sergio,Power Train Service Co Inc,1008,Roger Terrence,sergio@samplecompany.com,(800) - 456 - 1725,,Consulting,Partner,Not Contacted,"24 Apr, 2012 00:00:00",
1727,Philip,"Texas Metal Works, Inc.",1010,Augustine Paul,philip@samplecompany.com,(800) - 456 - 1727,,Education,Partner,Contact in Future,"24 Apr, 2012 00:00:00",
1001,Jose,Timet,1001,Rozario Diego,jose@samplecompany.com,(800) - 456 - 1001,,Government/Military,External Referral,Contact in Future,"24 Apr, 2012 00:00:00",
1729,Paolo,Extrusion Technology Inc.,1004,Pete Zachriah,paolo@samplecompany.com,(800) - 456 - 1729,,Pharma,Advertisement,Junk Lead,"23 Apr, 2012 00:00:00",
1731,Andre,"LTV Steel Co., Inc.",1005,Steffi Graf,andre@samplecompany.com,(800) - 456 - 1731,,Technology,External Referral,Contact in Future,"23 Apr, 2012 00:00:00",
1733,Karin,Arcturus Manufacturing Corp,1010,Augustine Paul,karin@samplecompany.com,(800) - 456 - 1733,,Education,Cold Call,Contacted,"23 Apr, 2012 00:00:00",
1735,Fran,Ellwood Texas Forge Co,1004,Pete Zachriah,fran@samplecompany.com,(800) - 456 - 1735,,Government/Military,Advertisement,Pre Qualified,"23 Apr, 2012 00:00:00",
1736,Pirkko,MSP Industries Corp,1008,Roger Terrence,pirkko@samplecompany.com,(800) - 456 - 1736,,Pharma,Trade Show,Contact in Future,"23 Apr, 2012 00:00:00",
1737,Antonio,Prager Inc,1009,Thomas Mondrake,antonio@samplecompany.com,(800) - 456 - 1737,,Consulting,Employee Referral,Contacted,"23 Apr, 2012 00:00:00",
1741,Peter,Akram (Mark) Bou-Ayash,1008,Roger Terrence,peter@samplecompany.com,(800) - 456 - 1741,,Communications,External Referral,Lost Lead,"23 Apr, 2012 00:00:00",
1002,Victoria,Turk Machine Shop & Supply,1005,Steffi Graf,victoria@samplecompany.com,(800) - 456 - 1002,,Financial Services,Cold Call,Lost Lead,"22 Apr, 2012 00:00:00",
1743,Sue,Bay Extrusions Inc.,1006,Harold Pawlan,sue@samplecompany.com,(800) - 456 - 1743,,Pharma,OnlineStore,Not Contacted,"21 Apr, 2012 00:00:00",
1744,Pirkko,Bowers Manufacturing Company,1005,Steffi Graf,pirkko@samplecompany.com,(800) - 456 - 1744,,Service Provider,Public Relations,Pre Qualified,"21 Apr, 2012 00:00:00",
1746,Horst,Owens-Corning Inc.,1005,Steffi Graf,horst@samplecompany.com,(800) - 456 - 1746,,Consulting,Web Research,Contacted,"21 Apr, 2012 00:00:00",
1749,Annette,ABA-PGT Inc,1001,Rozario Diego,annette@samplecompany.com,(800) - 456 - 1749,,Pharma,Public Relations,Pre Qualified,"21 Apr, 2012 00:00:00",
1752,Guillermo,Republic Tech Int,1003,Lazar Mathew,guillermo@samplecompany.com,(800) - 456 - 1752,,Service Provider,Public Relations,Not Contacted,"21 Apr, 2012 00:00:00",
1755,Renate,Bourdon Forge Co Inc,1011,Tina Thomas,renate@samplecompany.com,(800) - 456 - 1755,,Pharma,Employee Referral,Contacted,"21 Apr, 2012 00:00:00",
1758,Liu,Edward W Daniel Co,1010,Augustine Paul,liu@samplecompany.com,(800) - 456 - 1758,,Government/Military,Employee Referral,Pre Qualified,"21 Apr, 2012 00:00:00",
1761,Eduardo,John Deere Consumer Products,1005,Steffi Graf,eduardo@samplecompany.com,(800) - 456 - 1761,,Education,Partner,Not Contacted,"21 Apr, 2012 00:00:00",
1762,Alexander,Kern Products Co,1010,Augustine Paul,alexander@samplecompany.com,(800) - 456 - 1762,,Consulting,Public Relations,Pre Qualified,"21 Apr, 2012 00:00:00",
1763,Henriette,Mountaineer Manufacturing Inc,1007,David Love,henriette@samplecompany.com,(800) - 456 - 1763,,Pharma,Web Research,Contact in Future,"21 Apr, 2012 00:00:00",
1764,Catherine,Pittsburgh Welding & Forge,1005,Steffi Graf,catherine@samplecompany.com,(800) - 456 - 1764,,Pharma,Trade Show,Contacted,"21 Apr, 2012 00:00:00",
1766,Renate,Rawling Gear Inc,1001,Rozario Diego,renate@samplecompany.com,(800) - 456 - 1766,,Manufacturing,Trade Show,Attempted to Contact,"21 Apr, 2012 00:00:00",
1767,Carine,Robertson Manufacturing Co,1002,Santa Cruz Clara,carine@samplecompany.com,(800) - 456 - 1767,,IT Services,External Referral,Pre Qualified,"21 Apr, 2012 00:00:00",
1769,Peter,Standard Gear Manufacturing Inc,1001,Rozario Diego,peter@samplecompany.com,(800) - 456 - 1769,,Education,Cold Call,Lost Lead,"21 Apr, 2012 00:00:00",
1003,Alejandra,American Gear & Supply Co,1008,Roger Terrence,alejandra@samplecompany.com,(800) - 456 - 1003,,Consulting,Cold Call,Contacted,"19 Apr, 2012 00:00:00",
2240,Giovanni,Ohio Valley Aluminum Company LLC,1006,Harold Pawlan,giovanni@samplecompany.com,(800) - 456 - 2240,,Communications,Sales Mail Alias,Contacted,"18 Apr, 2012 00:00:00",
1004,Liu,Victory Racing Plate Company,1008,Roger Terrence,liu@samplecompany.com,(800) - 456 - 1004,,Service Provider,External Referral,Not Contacted,"13 Apr, 2012 00:00:00",
1096,Roland,Reef Gear Manufacturing Inc,1003,Lazar Mathew,roland@samplecompany.com,(800) - 456 - 1096,,Manufacturing,OnlineStore,Pre Qualified,"12 Apr, 2012 00:00:00",
1103,Guillermo,Fairfield Manufacturing Co,1008,Roger Terrence,guillermo@samplecompany.com,(800) - 456 - 1103,,Financial Services,Cold Call,Not Contacted,"12 Apr, 2012 00:00:00",
1118,Dominique,Griffin Gear Inc,1001,Rozario Diego,dominique@samplecompany.com,(800) - 456 - 1118,,IT Services,Cold Call,Pre Qualified,"12 Apr, 2012 00:00:00",
1141,Bernardo,Guptill Gear Corp,1003,Lazar Mathew,bernardo@samplecompany.com,(800) - 456 - 1141,,Education,Public Relations,Contact in Future,"12 Apr, 2012 00:00:00",
2238,Maria,Capitol Products Corporation,1003,Lazar Mathew,maria@samplecompany.com,(800) - 456 - 2238,,Education,Trade Show,Not Contacted,"12 Apr, 2012 00:00:00",
2239,Peter,Driver-Harris Company,1011,Tina Thomas,peter@samplecompany.com,(800) - 456 - 2239,,Communications,Employee Referral,Pre Qualified,"12 Apr, 2012 00:00:00",
2261,Hanna,Pittsburgh Tube Company,1002,Santa Cruz Clara,hanna@samplecompany.com,(800) - 456 - 2261,,Government/Military,Trade Show,Pre Qualified,"12 Apr, 2012 00:00:00",
1773,Andre,Eastern Extrusion Corporation,1004,Pete Zachriah,andre@samplecompany.com,(800) - 456 - 1773,,Financial Services,Sales Mail Alias,Contacted,"12 Apr, 2012 00:00:00",
1774,Rene,Grove Gear,1010,Augustine Paul,rene@samplecompany.com,(800) - 456 - 1774,,IT Services,Employee Referral,Junk Lead,"12 Apr, 2012 00:00:00",
1015,Thomas,Berkeley Forge & Tool Inc,1003,Lazar Mathew,thomas@samplecompany.com,(800) - 456 - 1015,,Education,Public Relations,Contact in Future,"12 Apr, 2012 00:00:00",
1031,Carlos,Luxfer USA Limited,1007,David Love,carlos@samplecompany.com,(800) - 456 - 1031,,Financial Services,Cold Call,Not Contacted,"12 Apr, 2012 00:00:00",
1048,Art,Endicott Forging Manufacturing Inc,1004,Pete Zachriah,art@samplecompany.com,(800) - 456 - 1048,,Manufacturing,Cold Call,Lost Lead,"12 Apr, 2012 00:00:00",
1051,Anabela,Alcoa Engineered Products (Pimalco Gila River Operations),1003,Lazar Mathew,anabela@samplecompany.com,(800) - 456 - 1051,,Communications,External Referral,Contact in Future,"12 Apr, 2012 00:00:00",
1072,Helvetius,Halstead Industries,1002,Santa Cruz Clara,helvetius@samplecompany.com,(800) - 456 - 1072,,Government/Military,OnlineStore,Attempted to Contact,"12 Apr, 2012 00:00:00",
2135,Howard,Alumax Technical Center,1011,Tina Thomas,howard@samplecompany.com,(800) - 456 - 2135,,Technology,Employee Referral,Pre Qualified,"10 Apr, 2012 00:00:00",
2159,Martine,Klockars Blacksmith & Metal,1008,Roger Terrence,martine@samplecompany.com,(800) - 456 - 2159,,Service Provider,Web Research,Contact in Future,"10 Apr, 2012 00:00:00",
2166,Maria,Julin Gear & Instrument,1006,Harold Pawlan,maria@samplecompany.com,(800) - 456 - 2166,,Pharma,Advertisement,Not Contacted,"10 Apr, 2012 00:00:00",
2168,Sven,Ketema Pacific Extrusions,1005,Steffi Graf,sven@samplecompany.com,(800) - 456 - 2168,,Government/Military,Cold Call,Contact in Future,"10 Apr, 2012 00:00:00",
2182,Yoshi,Gear Products Inc,1003,Lazar Mathew,yoshi@samplecompany.com,(800) - 456 - 2182,,Communications,Public Relations,Lost Lead,"10 Apr, 2012 00:00:00",
2204,Maria,Extrudex Aluminum Inc.,1009,Thomas Mondrake,maria@samplecompany.com,(800) - 456 - 2204,,Consulting,Partner,Contacted,"10 Apr, 2012 00:00:00",
2220,Daniel,Bonney Forge Corporation,1011,Tina Thomas,daniel@samplecompany.com,(800) - 456 - 2220,,Pharma,Employee Referral,Pre Qualified,"10 Apr, 2012 00:00:00",
2243,Carine,Plymouth Tube Company,1001,Rozario Diego,carine@samplecompany.com,(800) - 456 - 2243,,Financial Services,Web Research,Pre Qualified,"10 Apr, 2012 00:00:00",
2248,Miguel,Dynaflex Inc,1007,David Love,miguel@samplecompany.com,(800) - 456 - 2248,,Consulting,Trade Show,Pre Qualified,"10 Apr, 2012 00:00:00",
2257,Karin,T A P E Inc,1005,Steffi Graf,karin@samplecompany.com,(800) - 456 - 2257,,Communications,Employee Referral,Pre Qualified,"10 Apr, 2012 00:00:00",
1776,Lucia,Bethlehem Steel Corporation,1003,Lazar Mathew,lucia@samplecompany.com,(800) - 456 - 1776,,Pharma,Public Relations,Pre Qualified,"07 Apr, 2012 00:00:00",
1780,Elizabeth,Park-Ohio Industries Inc,1001,Rozario Diego,elizabeth@samplecompany.com,(800) - 456 - 1780,,Manufacturing,Sales Mail Alias,Pre Qualified,"07 Apr, 2012 00:00:00",
1782,Daniel,Metal Exchange Corporation,1004,Pete Zachriah,daniel@samplecompany.com,(800) - 456 - 1782,,Service Provider,External Referral,Contacted,"06 Apr, 2012 00:00:00",
1787,Peter,Advantage Manufacturing Inc,1001,Rozario Diego,peter@samplecompany.com,(800) - 456 - 1787,,Financial Services,External Referral,Lost Lead,"05 Apr, 2012 00:00:00",
1790,Yoshi,Profile Gear Inc,1002,Santa Cruz Clara,yoshi@samplecompany.com,(800) - 456 - 1790,,Communications,Sales Mail Alias,Contact in Future,"05 Apr, 2012 00:00:00",
1005,Daniel,Gainesville Foundry Inc,1009,Thomas Mondrake,daniel@samplecompany.com,(800) - 456 - 1005,,Service Provider,Public Relations,Pre Qualified,"04 Apr, 2012 00:00:00",
1794,Jaime,Bristol Aluminum Company,1006,Harold Pawlan,jaime@samplecompany.com,(800) - 456 - 1794,,Technology,Web Research,Pre Qualified,"25 Mar, 2012 00:00:00",
1795,Ann,"Border Steel Mills, Inc.",1001,Rozario Diego,ann@samplecompany.com,(800) - 456 - 1795,,Manufacturing,Cold Call,Contact in Future,"25 Mar, 2012 00:00:00",
1796,Isabel,WEBCO Industries Inc.,1005,Steffi Graf,isabel@samplecompany.com,(800) - 456 - 1796,,Financial Services,Trade Show,Lost Lead,"25 Mar, 2012 00:00:00",
1799,Patricia,C C C Machine Works,1009,Thomas Mondrake,patricia@samplecompany.com,(800) - 456 - 1799,,Technology,External Referral,Pre Qualified,"25 Mar, 2012 00:00:00",
1800,Dominique,DELFASCO Forge,1002,Santa Cruz Clara,dominique@samplecompany.com,(800) - 456 - 1800,,IT Services,Partner,Junk Lead,"25 Mar, 2012 00:00:00",
1802,Andre,Draper-Texmaco Inc,1003,Lazar Mathew,andre@samplecompany.com,(800) - 456 - 1802,,Pharma,Employee Referral,Pre Qualified,"25 Mar, 2012 00:00:00",
1805,Alexander,Forging Specialties,1008,Roger Terrence,alexander@samplecompany.com,(800) - 456 - 1805,,Pharma,Employee Referral,Contacted,"25 Mar, 2012 00:00:00",
1807,Alan,Industrial Grinding Co Inc,1003,Lazar Mathew,alan@samplecompany.com,(800) - 456 - 1807,,Manufacturing,Advertisement,Pre Qualified,"25 Mar, 2012 00:00:00",
1814,Liz,Presrite Corporation,1004,Pete Zachriah,liz@samplecompany.com,(800) - 456 - 1814,,Service Provider,Partner,Contacted,"25 Mar, 2012 00:00:00",
1817,Maurizio,Sypris Technologies Inc.,1003,Lazar Mathew,maurizio@samplecompany.com,(800) - 456 - 1817,,Financial Services,External Referral,Contact in Future,"25 Mar, 2012 00:00:00",
1820,Paula,Youngstown Systems Corporation,1008,Roger Terrence,paula@samplecompany.com,(800) - 456 - 1820,,IT Services,Cold Call,Pre Qualified,"25 Mar, 2012 00:00:00",
1125,Eduardo,Continental Precision Stamping,1008,Roger Terrence,eduardo@samplecompany.com,(800) - 456 - 1125,,Communications,External Referral,Junk Lead,"23 Mar, 2012 00:00:00",
1006,Bernardo,Eclipse Machine Corp,1010,Augustine Paul,bernardo@samplecompany.com,(800) - 456 - 1006,,Technology,Web Research,Contact in Future,"23 Mar, 2012 00:00:00",
1007,Henriette,Koellmann Gear Corp,1003,Lazar Mathew,henriette@samplecompany.com,(800) - 456 - 1007,,Service Provider,Advertisement,Contacted,"23 Mar, 2012 00:00:00",
1008,Karl,Laclede Chain Manufacturing Co,1008,Roger Terrence,karl@samplecompany.com,(800) - 456 - 1008,,Government/Military,Employee Referral,Junk Lead,"23 Mar, 2012 00:00:00",
1009,Catherine,S E C S Inc,1006,Harold Pawlan,catherine@samplecompany.com,(800) - 456 - 1009,,Service Provider,Web Research,Attempted to Contact,"23 Mar, 2012 00:00:00",
1824,Guillermo,Brass Aluminum Forging Enterprises LLC,1003,Lazar Mathew,guillermo@samplecompany.com,(800) - 456 - 1824,,Financial Services,External Referral,Not Contacted,"23 Mar, 2012 00:00:00",
1825,Christina,Commercial Forged Products,1003,Lazar Mathew,christina@samplecompany.com,(800) - 456 - 1825,,Communications,External Referral,Pre Qualified,"23 Mar, 2012 00:00:00",
1826,Karin,Dearborn Gear & Tool Co Inc,1005,Steffi Graf,karin@samplecompany.com,(800) - 456 - 1826,,IT Services,Trade Show,Contact in Future,"23 Mar, 2012 00:00:00",
1827,Jose,Gil-Mar Manufacturing Co,1004,Pete Zachriah,jose@samplecompany.com,(800) - 456 - 1827,,Financial Services,Web Research,Contacted,"23 Mar, 2012 00:00:00",
1828,Manuel,Harris-Thomas Industries,1005,Steffi Graf,manuel@samplecompany.com,(800) - 456 - 1828,,Pharma,Trade Show,Junk Lead,"23 Mar, 2012 00:00:00",
1830,Henriette,R F Industries Inc,1010,Augustine Paul,henriette@samplecompany.com,(800) - 456 - 1830,,Technology,Advertisement,Contact in Future,"23 Mar, 2012 00:00:00",
1833,Antonio,Maclean Forge,1002,Santa Cruz Clara,antonio@samplecompany.com,(800) - 456 - 1833,,Financial Services,Web Research,Not Contacted,"23 Mar, 2012 00:00:00",
1837,Howard,Contour Hardening Inc,1001,Rozario Diego,howard@samplecompany.com,(800) - 456 - 1837,,Technology,Cold Call,Junk Lead,"22 Mar, 2012 00:00:00",
1838,Francisco,Longo Industries,1004,Pete Zachriah,francisco@samplecompany.com,(800) - 456 - 1838,,Education,Sales Mail Alias,Attempted to Contact,"22 Mar, 2012 00:00:00",
1851,Catherine,Industrial Gear & Machine Works,1002,Santa Cruz Clara,catherine@samplecompany.com,(800) - 456 - 1851,,Manufacturing,Sales Mail Alias,Not Contacted,"21 Mar, 2012 00:00:00",
1853,Giovanni,Overton Gear & Tool Corp,1007,David Love,giovanni@samplecompany.com,(800) - 456 - 1853,,Government/Military,Advertisement,Contact in Future,"21 Mar, 2012 00:00:00",
1855,Lucia,Thompson Gear & Machine Inc,1005,Steffi Graf,lucia@samplecompany.com,(800) - 456 - 1855,,Government/Military,Sales Mail Alias,Junk Lead,"21 Mar, 2012 00:00:00",
